row_number,project,authorship,backfill_years,min_pub_years,group_by_all,region,year,y_pop,country_iso_a2,in_y_flow_INT,out_y_flow_INT,in_y_flow_IN,out_y_flow_IN,net_y_flow_INT,abs_inout_INT,sum_inout_INT,net_y_flow_IN,abs_inout_IN,sum_inout_IN,nmr_IN,nmr_INT
1,Subnational,OpenAlex,1,2,true,JP.37,1981.0,269,JP,2,1,28,24,1,1,3,4,4,52,14.869888475836431,3.717472118959108
2,Subnational,OpenAlex,1,2,true,JP.40,1986.0,10451,JP,153,158,692,770,-5,5,311,-78,78,1462,-7.463400631518515,-0.478423117405033
3,Subnational,OpenAlex,1,2,true,US.OK,1996.0,2069,US,58,64,182,146,-6,6,122,36,36,328,17.399710004833253,-2.899951667472209
4,Subnational,OpenAlex,1,2,true,US.WA,1970.0,707,US,3,12,46,44,-9,9,15,2,2,90,2.828854314002829,-12.72984441301273
5,Subnational,OpenAlex,1,2,true,US.MS,2007.0,2722,US,92,101,270,221,-9,9,193,49,49,491,18.001469507714916,-3.3063923585598824
6,Subnational,OpenAlex,1,2,true,IT.04,2007.0,6181,IT,125,134,316,292,-9,9,259,24,24,608,3.882866850024268,-1.4560750687591004
7,Subnational,OpenAlex,1,2,true,US.ID,1985.0,133,US,2,6,13,12,-4,4,8,1,1,25,7.518796992481203,-30.075187969924812
8,Subnational,OpenAlex,1,2,true,IR.08,2017.0,1635,IR,29,36,164,170,-7,7,65,-6,6,334,-3.669724770642202,-4.281345565749236
9,Subnational,OpenAlex,1,2,true,BR.30,2014.0,4477,BR,85,90,435,465,-5,5,175,-30,30,900,-6.700915791824883,-1.1168192986374805
10,Subnational,OpenAlex,1,2,true,CU.02,2008.0,1851,CU,186,204,5,10,-18,18,390,-5,5,15,-2.7012425715829282,-9.724473257698541
11,Subnational,OpenAlex,1,2,true,TR.20,2016.0,762,TR,10,10,53,67,0,0,20,-14,14,120,-18.37270341207349,0.0
12,Subnational,OpenAlex,1,2,true,JP.14,1992.0,1916,JP,35,26,237,207,9,9,61,30,30,444,15.657620041753653,4.697286012526096
13,Subnational,OpenAlex,1,2,true,GB.NIR,2020.0,3723,GB,350,349,205,192,1,1,699,13,13,397,3.4918076819769004,0.2686005909213
14,Subnational,OpenAlex,1,2,true,JP.19,2022.0,4445,JP,65,53,573,503,12,12,118,70,70,1076,15.748031496062993,2.699662542182227
15,Subnational,OpenAlex,1,2,true,CN.04,2003.0,9801,CN,393,258,991,868,135,135,651,123,123,1859,12.549739822467096,13.774104683195592
16,Subnational,OpenAlex,1,2,true,CN.03,2015.0,4850,CN,144,119,1204,1234,25,25,263,-30,30,2438,-6.185567010309279,5.154639175257732
17,Subnational,OpenAlex,1,2,true,BR.29,2019.0,3792,BR,87,78,534,475,9,9,165,59,59,1009,15.559071729957806,2.3734177215189876
18,Subnational,OpenAlex,1,2,true,ES.27,2019.0,628,ES,25,39,74,53,-14,14,64,21,21,127,33.439490445859875,-22.29299363057325
19,Subnational,OpenAlex,1,2,true,KZ.05,2020.0,1507,KZ,94,50,50,34,44,44,144,16,16,84,10.617120106171201,29.197080291970803
20,Subnational,OpenAlex,1,2,true,MX.09,2010.0,14829,MX,846,959,235,332,-113,113,1805,-97,97,567,-6.541236765796749,-7.620203655000338
21,Subnational,OpenAlex,1,2,true,US.MS,1983.0,332,US,7,8,32,20,-1,1,15,12,12,52,36.144578313253014,-3.0120481927710845
22,Subnational,OpenAlex,1,2,true,RU.47,1993.0,957,RU,35,40,20,40,-5,5,75,-20,20,60,-20.898641588296762,-5.2246603970741905
23,Subnational,OpenAlex,1,2,true,US.LA,2019.0,6824,US,266,273,601,622,-7,7,539,-21,21,1223,-3.077373974208675,-1.0257913247362251
24,Subnational,OpenAlex,1,2,true,CN.33,2016.0,7297,CN,163,135,982,1076,28,28,298,-94,94,2058,-12.882006303960532,3.83719336713718
25,Subnational,OpenAlex,1,2,true,JP.28,2003.0,1329,JP,24,36,164,163,-12,12,60,1,1,327,0.7524454477050414,-9.029345372460497
26,Subnational,OpenAlex,1,2,true,US.NE,1995.0,2071,US,64,74,158,191,-10,10,138,-33,33,349,-15.934331240946403,-4.828585224529213
27,Subnational,OpenAlex,1,2,true,CH.BS,1997.0,2651,CH,269,264,70,65,5,5,533,5,5,135,1.8860807242549982,1.8860807242549982
28,Subnational,OpenAlex,1,2,true,US.MI,1999.0,12157,US,422,534,904,1063,-112,112,956,-159,159,1967,-13.078884593238463,-9.212799210331497
29,Subnational,OpenAlex,1,2,true,US.PA,2016.0,38504,US,1443,1591,2869,3053,-148,148,3034,-184,184,5922,-4.7787242883856225,-3.8437564928319135
30,Subnational,OpenAlex,1,2,true,CN.20,2012.0,2256,CN,56,17,606,496,39,39,73,110,110,1102,48.758865248226954,17.28723404255319
31,Subnational,OpenAlex,1,2,true,LV.25,2002.0,511,LV,26,29,2,1,-3,3,55,1,1,3,1.9569471624266144,-5.870841487279844
32,Subnational,OpenAlex,1,2,true,JP.35,2012.0,731,JP,5,9,121,86,-4,4,14,35,35,207,47.879616963064294,-5.471956224350206
33,Subnational,OpenAlex,1,2,true,CH.VS,2018.0,201,CH,26,14,24,15,12,12,40,9,9,39,44.776119402985074,59.701492537313435
34,Subnational,OpenAlex,1,2,true,JO.02,2018.0,248,JO,18,9,15,11,9,9,27,4,4,26,16.129032258064516,36.29032258064516
35,Subnational,OpenAlex,1,2,true,BR.23,2018.0,22038,BR,491,508,1269,1499,-17,17,999,-230,230,2768,-10.436518740357565,-0.771394863417733
36,Subnational,OpenAlex,1,2,true,GB.ENG,2012.0,138492,GB,10842,11456,1103,1011,-614,614,22298,92,92,2114,0.6642982988187043,-4.43346908124657
37,Subnational,OpenAlex,1,2,true,RU.65,2012.0,435,RU,8,4,24,9,4,4,12,15,15,33,34.48275862068966,9.195402298850574
38,Subnational,OpenAlex,1,2,true,JP.14,1997.0,3763,JP,134,113,525,432,21,21,247,93,93,957,24.714323677916557,5.580653733723094
39,Subnational,OpenAlex,1,2,true,US.MT,1998.0,719,US,28,28,82,49,0,0,56,33,33,131,45.8970792767733,0.0
40,Subnational,OpenAlex,1,2,true,JP.01,2023.0,456,JP,6,11,25,59,-5,5,17,-34,34,84,-74.56140350877193,-10.964912280701755
41,Subnational,OpenAlex,1,2,true,US.NJ,2019.0,16128,US,874,919,1579,1340,-45,45,1793,239,239,2919,14.818948412698413,-2.7901785714285716
42,Subnational,OpenAlex,1,2,true,IL.02,1977.0,488,IL,25,16,9,10,9,9,41,-1,1,19,-2.0491803278688523,18.442622950819672
43,Subnational,OpenAlex,1,2,true,US.DC,1975.0,1007,US,21,24,107,85,-3,3,45,22,22,192,21.847070506454816,-2.9791459781529297
44,Subnational,OpenAlex,1,2,true,DE.08,1994.0,1651,DE,79,69,47,66,10,10,148,-19,19,113,-11.508176862507572,6.0569351907934585
45,Subnational,OpenAlex,1,2,true,IN.36,2003.0,2857,IN,132,164,149,194,-32,32,296,-45,45,343,-15.750787539376969,-11.2005600280014
46,Subnational,OpenAlex,1,2,true,JP.31,1971.0,143,JP,0,3,11,12,-3,3,3,-1,1,23,-6.993006993006993,-20.97902097902098
47,Subnational,OpenAlex,1,2,true,ES.51,2012.0,15968,ES,610,636,673,681,-26,26,1246,-8,8,1354,-0.501002004008016,-1.628256513026052
48,Subnational,OpenAlex,1,2,true,US.NH,2009.0,2434,US,109,108,233,235,1,1,217,-2,2,468,-0.8216926869350862,0.4108463434675431
49,Subnational,OpenAlex,1,2,true,MX.30,2017.0,1396,MX,90,60,78,58,30,30,150,20,20,136,14.326647564469914,21.48997134670487
50,Subnational,OpenAlex,1,2,true,ID.13,2018.0,444,ID,9,6,57,47,3,3,15,10,10,104,22.52252252252252,6.756756756756757
51,Subnational,OpenAlex,1,2,true,US.PA,1969.0,1791,US,20,27,127,101,-7,7,47,26,26,228,14.517029592406477,-3.908431044109436
52,Subnational,OpenAlex,1,2,true,CZ.88,2011.0,175,CZ,16,18,27,6,-2,2,34,21,21,33,120.0,-11.428571428571429
53,Subnational,OpenAlex,1,2,true,DE.15,1998.0,1420,DE,37,23,97,57,14,14,60,40,40,154,28.169014084507044,9.859154929577464
54,Subnational,OpenAlex,1,2,true,DK.19,2022.0,1116,DK,69,47,57,47,22,22,116,10,10,104,8.960573476702509,19.71326164874552
55,Subnational,OpenAlex,1,2,true,BR.15,2011.0,12636,BR,315,229,1195,1203,86,86,544,-8,8,2398,-0.6331117442228553,6.805951250395695
56,Subnational,OpenAlex,1,2,true,IN.13,2021.0,7190,IN,249,245,510,493,4,4,494,17,17,1003,2.364394993045897,0.5563282336578581
57,Subnational,OpenAlex,1,2,true,DZ.50,2018.0,178,DZ,10,4,25,14,6,6,14,11,11,39,61.79775280898876,33.70786516853933
58,Subnational,OpenAlex,1,2,true,NG.26,2020.0,383,NG,14,23,20,20,-9,9,37,0,0,40,0.0,-23.49869451697128
59,Subnational,OpenAlex,1,2,true,IR.22,2016.0,417,IR,4,12,60,38,-8,8,16,22,22,98,52.75779376498801,-19.18465227817746
60,Subnational,OpenAlex,1,2,true,IL.06,1981.0,690,IL,38,39,12,14,-1,1,77,-2,2,26,-2.898550724637681,-1.4492753623188406
61,Subnational,OpenAlex,1,2,true,US.MN,1967.0,624,US,6,13,40,45,-7,7,19,-5,5,85,-8.012820512820513,-11.217948717948717
62,Subnational,OpenAlex,1,2,true,US.VA,2019.0,20455,US,783,846,1977,1876,-63,63,1629,101,101,3853,4.9376680518210705,-3.0799315570765096
63,Subnational,OpenAlex,1,2,true,IN.41,2015.0,22,IN,2,0,2,1,2,2,2,1,1,3,45.45454545454545,90.9090909090909
64,Subnational,OpenAlex,1,2,true,TH.39,2019.0,1347,TH,48,55,92,67,-7,7,103,25,25,159,18.55976243504083,-5.196733481811433
65,Subnational,OpenAlex,1,2,true,RU.86,2018.0,1208,RU,18,19,67,42,-1,1,37,25,25,109,20.695364238410598,-0.8278145695364238
66,Subnational,OpenAlex,1,2,true,NG.16,2004.0,228,NG,4,1,13,7,3,3,5,6,6,20,26.31578947368421,13.157894736842104
67,Subnational,OpenAlex,1,2,true,CH.NE,2004.0,393,CH,20,34,16,19,-14,14,54,-3,3,35,-7.633587786259542,-35.6234096692112
68,Subnational,OpenAlex,1,2,true,FI.01,1991.0,1739,FI,56,50,16,20,6,6,106,-4,4,36,-2.3001725129384702,3.4502587694077054
69,Subnational,OpenAlex,1,2,true,IT.07,2015.0,22796,IT,669,740,1132,1316,-71,71,1409,-184,184,2448,-8.07159150728198,-3.1145815055272856
70,Subnational,OpenAlex,1,2,true,IR.33,2009.0,1469,IR,16,30,61,61,-14,14,46,0,0,122,0.0,-9.530292716133424
71,Subnational,OpenAlex,1,2,true,TR.21,2006.0,434,TR,7,5,22,26,2,2,12,-4,4,48,-9.216589861751151,4.608294930875576
72,Subnational,OpenAlex,1,2,true,US.CO,1976.0,872,US,12,11,92,63,1,1,23,29,29,155,33.25688073394495,1.146788990825688
73,Subnational,OpenAlex,1,2,true,FR.27,1993.0,186,FR,9,3,7,5,6,6,12,2,2,12,10.75268817204301,32.25806451612903
74,Subnational,OpenAlex,1,2,true,IR.35,2014.0,2408,IR,28,25,211,153,3,3,53,58,58,364,24.08637873754153,1.2458471760797343
75,Subnational,OpenAlex,1,2,true,DZ.41,2021.0,133,DZ,5,7,8,3,-2,2,12,5,5,11,37.59398496240601,-15.037593984962406
76,Subnational,OpenAlex,1,2,true,KR.10,2011.0,3290,KR,152,132,386,346,20,20,284,40,40,732,12.158054711246201,6.079027355623101
77,Subnational,OpenAlex,1,2,true,US.MS,1963.0,49,US,0,1,3,3,-1,1,1,0,0,6,0.0,-20.408163265306122
78,Subnational,OpenAlex,1,2,true,PE.LMA,2015.0,3783,PE,396,562,24,35,-166,166,958,-11,11,59,-2.907745175786413,-43.88051810732223
79,Subnational,OpenAlex,1,2,true,GR.ESYE23,2011.0,1764,GR,40,56,70,85,-16,16,96,-15,15,155,-8.503401360544217,-9.070294784580499
80,Subnational,OpenAlex,1,2,true,AR.22,2018.0,97,AR,5,8,7,4,-3,3,13,3,3,11,30.927835051546392,-30.927835051546392
81,Subnational,OpenAlex,1,2,true,IN.36,1979.0,760,IN,17,19,21,32,-2,2,36,-11,11,53,-14.473684210526315,-2.6315789473684212
82,Subnational,OpenAlex,1,2,true,KR.06,2004.0,657,KR,46,34,75,84,12,12,80,-9,9,159,-13.698630136986301,18.264840182648403
83,Subnational,OpenAlex,1,2,true,TR.62,2021.0,98,TR,0,4,15,11,-4,4,4,4,4,26,40.816326530612244,-40.816326530612244
84,Subnational,OpenAlex,1,2,true,ES.56,1992.0,1733,ES,79,43,31,21,36,36,122,10,10,52,5.770340450086555,20.7732256203116
85,Subnational,OpenAlex,1,2,true,KR.18,2008.0,1875,KR,70,67,184,160,3,3,137,24,24,344,12.8,1.6
86,Subnational,OpenAlex,1,2,true,ID.30,2005.0,896,ID,40,34,15,18,6,6,74,-3,3,33,-3.3482142857142856,6.696428571428571
87,Subnational,OpenAlex,1,2,true,IT.09,2008.0,20022,IT,476,668,915,983,-192,192,1144,-68,68,1898,-3.3962641094795725,-9.58945160323644
88,Subnational,OpenAlex,1,2,true,SE.28,1967.0,145,SE,5,0,5,1,5,5,5,4,4,6,27.586206896551722,34.48275862068966
89,Subnational,OpenAlex,1,2,true,EG.15,2013.0,53,EG,3,3,8,3,0,0,6,5,5,11,94.33962264150944,0.0
90,Subnational,OpenAlex,1,2,true,TR.05,2019.0,166,TR,5,1,19,27,4,4,6,-8,8,46,-48.19277108433735,24.096385542168676
91,Subnational,OpenAlex,1,2,true,PL.86,1985.0,117,PL,8,3,1,3,5,5,11,-2,2,4,-17.094017094017094,42.73504273504273
92,Subnational,OpenAlex,1,2,true,IR.35,2004.0,166,IR,7,3,9,3,4,4,10,6,6,12,36.144578313253014,24.096385542168676
93,Subnational,OpenAlex,1,2,true,IN.21,1975.0,28,IN,1,0,2,1,1,1,1,1,1,3,35.714285714285715,35.714285714285715
94,Subnational,OpenAlex,1,2,true,IR.05,2022.0,229,IR,2,2,23,26,0,0,4,-3,3,49,-13.100436681222707,0.0
95,Subnational,OpenAlex,1,2,true,CH.FR,2006.0,460,CH,52,58,23,22,-6,6,110,1,1,45,2.1739130434782608,-13.043478260869565
96,Subnational,OpenAlex,1,2,true,ES.52,2008.0,2711,ES,98,86,145,123,12,12,184,22,22,268,8.115086683880486,4.426410918480266
97,Subnational,OpenAlex,1,2,true,CO.33,2010.0,218,CO,24,32,13,13,-8,8,56,0,0,26,0.0,-36.69724770642202
98,Subnational,OpenAlex,1,2,true,MY.01,2006.0,294,MY,19,7,8,15,12,12,26,-7,7,23,-23.80952380952381,40.816326530612244
99,Subnational,OpenAlex,1,2,true,TR.22,2022.0,364,TR,5,5,34,27,0,0,10,7,7,61,19.23076923076923,0.0
100,Subnational,OpenAlex,1,2,true,SE.26,1984.0,1009,SE,25,23,23,19,2,2,48,4,4,42,3.964321110009911,1.9821605550049555
101,Subnational,OpenAlex,1,2,true,HU.05,1979.0,675,HU,6,14,11,15,-8,8,20,-4,4,26,-5.925925925925926,-11.851851851851851
102,Subnational,OpenAlex,1,2,true,NG.30,2011.0,381,NG,7,7,14,17,0,0,14,-3,3,31,-7.874015748031496,0.0
103,Subnational,OpenAlex,1,2,true,KR.05,2004.0,547,KR,37,23,65,48,14,14,60,17,17,113,31.078610603290677,25.59414990859232
104,Subnational,OpenAlex,1,2,true,US.AK,1994.0,166,US,5,8,11,15,-3,3,13,-4,4,26,-24.096385542168676,-18.072289156626507
105,Subnational,OpenAlex,1,2,true,IL.02,2003.0,2798,IL,101,156,126,139,-55,55,257,-13,13,265,-4.6461758398856325,-19.656897784131523
106,Subnational,OpenAlex,1,2,true,CL.04,1998.0,90,CL,3,2,5,1,1,1,5,4,4,6,44.44444444444444,11.11111111111111
107,Subnational,OpenAlex,1,2,true,MX.02,2022.0,722,MX,33,29,26,22,4,4,62,4,4,48,5.54016620498615,5.54016620498615
108,Subnational,OpenAlex,1,2,true,MA.05,2019.0,403,MA,20,7,22,10,13,13,27,12,12,32,29.77667493796526,32.25806451612903
109,Subnational,OpenAlex,1,2,true,IR.10,2018.0,444,IR,7,8,57,55,-1,1,15,2,2,112,4.504504504504505,-2.2522522522522523
110,Subnational,OpenAlex,1,2,true,EG.24,2004.0,28,EG,2,1,2,2,1,1,3,0,0,4,0.0,35.714285714285715
111,Subnational,OpenAlex,1,2,true,RO.36,2020.0,1622,RO,42,28,64,63,14,14,70,1,1,127,0.6165228113440198,8.631319358816276
112,Subnational,OpenAlex,1,2,true,TG.24,2021.0,377,TG,7,14,3,3,-7,7,21,0,0,6,0.0,-18.56763925729443
113,Subnational,OpenAlex,1,2,true,CH.BL,1994.0,63,CH,5,8,4,5,-3,3,13,-1,1,9,-15.873015873015873,-47.61904761904762
114,Subnational,OpenAlex,1,2,true,CL.16,2001.0,40,CL,5,1,2,2,4,4,6,0,0,4,0.0,100.0
115,Subnational,OpenAlex,1,2,true,TR.69,2020.0,144,TR,1,2,13,23,-1,1,3,-10,10,36,-69.44444444444444,-6.944444444444445
116,Subnational,OpenAlex,1,2,true,LB.09,2005.0,63,LB,17,14,2,2,3,3,31,0,0,4,0.0,47.61904761904762
117,Subnational,OpenAlex,1,2,true,US.AR,1977.0,155,US,5,4,12,15,1,1,9,-3,3,27,-19.35483870967742,6.451612903225806
118,Subnational,OpenAlex,1,2,true,IQ.13,2018.0,55,IQ,6,1,4,1,5,5,7,3,3,5,54.54545454545455,90.9090909090909
119,Subnational,OpenAlex,1,2,true,RU.56,2022.0,118,RU,6,3,9,16,3,3,9,-7,7,25,-59.32203389830509,25.423728813559322
120,Subnational,OpenAlex,1,2,true,IT.04,1983.0,169,IT,5,2,4,3,3,3,7,1,1,7,5.9171597633136095,17.75147928994083
121,Subnational,OpenAlex,1,2,true,MA.07,2013.0,787,MA,33,25,24,34,8,8,58,-10,10,58,-12.706480304955527,10.165184243964422
122,Subnational,OpenAlex,1,2,true,CH.VS,2022.0,125,CH,10,7,11,6,3,3,17,5,5,17,40.0,24.0
123,Subnational,OpenAlex,1,2,true,ES.07,1995.0,187,ES,10,2,6,5,8,8,12,1,1,11,5.347593582887701,42.780748663101605
124,Subnational,OpenAlex,1,2,true,BY.04,2015.0,2044,BY,123,178,6,14,-55,55,301,-8,8,20,-3.9138943248532287,-26.908023483365948
125,Subnational,OpenAlex,1,2,true,RU.90,2003.0,313,RU,7,11,4,7,-4,4,18,-3,3,11,-9.584664536741213,-12.779552715654953
126,Subnational,OpenAlex,1,2,true,AU.04,2013.0,13557,AU,1300,951,411,393,349,349,2251,18,18,804,1.3277273733126798,25.743158515895846
127,Subnational,OpenAlex,1,2,true,IE.C,2008.0,815,IE,93,65,30,36,28,28,158,-6,6,66,-7.361963190184049,34.355828220858896
128,Subnational,OpenAlex,1,2,true,IT.17,1986.0,52,IT,1,0,2,6,1,1,1,-4,4,8,-76.92307692307692,19.23076923076923
129,Subnational,OpenAlex,1,2,true,JP.10,1980.0,217,JP,5,2,13,21,3,3,7,-8,8,34,-36.866359447004605,13.824884792626728
130,Subnational,OpenAlex,1,2,true,UZ.08,2021.0,33,UZ,1,2,6,2,-1,1,3,4,4,8,121.21212121212122,-30.303030303030305
131,Subnational,OpenAlex,1,2,true,DZ.29,2018.0,133,DZ,4,0,13,8,4,4,4,5,5,21,37.59398496240601,30.075187969924812
132,Subnational,OpenAlex,1,2,true,AR.05,1999.0,807,AR,35,56,5,11,-21,21,91,-6,6,16,-7.434944237918216,-26.022304832713754
133,Subnational,OpenAlex,1,2,true,NL.09,1983.0,290,NL,9,6,3,8,3,3,15,-5,5,11,-17.24137931034483,10.344827586206897
134,Subnational,OpenAlex,1,2,true,HR.21,1999.0,1796,HR,69,51,7,3,18,18,120,4,4,10,2.2271714922048997,10.022271714922049
135,Subnational,OpenAlex,1,2,true,RU.30,2001.0,68,RU,0,1,4,7,-1,1,1,-3,3,11,-44.11764705882353,-14.705882352941176
136,Subnational,OpenAlex,1,2,true,SN.07,2015.0,48,SN,5,3,8,4,2,2,8,4,4,12,83.33333333333333,41.666666666666664
137,Subnational,OpenAlex,1,2,true,RU.04,1994.0,7,RU,1,0,2,0,1,1,1,2,2,2,285.7142857142857,142.85714285714286
138,Subnational,OpenAlex,1,2,true,CO.37,2002.0,22,CO,2,6,2,0,-4,4,8,2,2,2,90.9090909090909,-181.8181818181818
139,Subnational,OpenAlex,1,2,true,CN.19,1980.0,78,CN,3,10,1,0,-7,7,13,1,1,1,12.820512820512821,-89.74358974358974
140,Subnational,OpenAlex,1,2,true,CZ.83,2002.0,41,CZ,1,2,2,0,-1,1,3,2,2,2,48.78048780487805,-24.390243902439025
141,Subnational,OpenAlex,1,2,true,TH.36,2020.0,4,TH,1,0,3,0,1,1,1,3,3,3,750.0,250.0
142,Subnational,OpenAlex,1,2,true,IN.07,1962.0,84,IN,4,1,1,1,3,3,5,0,0,2,0.0,35.714285714285715
143,Subnational,OpenAlex,1,2,true,US.IL,1916.0,64,US,1,0,5,2,1,1,1,3,3,7,46.875,15.625
144,Subnational,OpenAlex,1,2,true,PE.15,2020.0,53,PE,3,5,4,4,-2,2,8,0,0,8,0.0,-37.735849056603776
145,Subnational,OpenAlex,1,2,true,DK.19,1990.0,94,DK,2,3,7,10,-1,1,5,-3,3,17,-31.914893617021278,-10.638297872340425
146,Subnational,OpenAlex,1,2,true,IN.02,1987.0,89,IN,1,1,4,6,0,0,2,-2,2,10,-22.471910112359552,0.0
147,Subnational,OpenAlex,1,2,true,KW.08,2009.0,53,KW,2,5,3,3,-3,3,7,0,0,6,0.0,-56.60377358490566
148,Subnational,OpenAlex,1,2,true,SA.06,1995.0,478,SA,25,17,2,1,8,8,42,1,1,3,2.092050209205021,16.736401673640167
149,Subnational,OpenAlex,1,2,true,ZA.05,2011.0,1001,ZA,64,42,27,33,22,22,106,-6,6,60,-5.994005994005994,21.978021978021978
