row_number,project,authorship,backfill_years,min_pub_years,group_by_all,region,year,y_pop,country_iso_a2,in_y_flow_INT,out_y_flow_INT,in_y_flow_IN,out_y_flow_IN,net_y_flow_INT,abs_inout_INT,sum_inout_INT,net_y_flow_IN,abs_inout_IN,sum_inout_IN,nmr_IN,nmr_INT
1,Subnational,Scopus,1,2,true,FI.15,2009.0,105,FI,1,1,6,5,0,0,2,1,1,11,9.523809523809524,0.0
2,Subnational,Scopus,1,2,true,IN.23,2004.0,1392,IN,14,19,24,41,-5,5,33,-17,17,65,-12.21264367816092,-3.5919540229885056
3,Subnational,Scopus,1,2,true,US.TN,2012.0,12931,US,175,131,721,589,44,44,306,132,132,1310,10.208027221405924,3.4026757404686414
4,Subnational,Scopus,1,2,true,ES.55,2006.0,3396,ES,25,36,70,79,-11,11,61,-9,9,149,-2.65017667844523,-3.239104829210836
5,Subnational,Scopus,1,2,true,CO.02,2013.0,1829,CO,42,22,17,17,20,20,64,0,0,34,0.0,10.934937124111537
6,Subnational,Scopus,1,2,true,TR.03,2010.0,426,TR,1,0,12,17,1,1,1,-5,5,29,-11.737089201877934,2.347417840375587
7,Subnational,Scopus,1,2,true,PL.78,2002.0,7587,PL,129,169,111,114,-40,40,298,-3,3,225,-0.39541320680110714,-5.272176090681429
8,Subnational,Scopus,1,2,true,RO.13,2019.0,2112,RO,10,20,12,23,-10,10,30,-11,11,35,-5.208333333333333,-4.734848484848484
9,Subnational,Scopus,1,2,true,KR.19,2001.0,5835,KR,91,97,156,186,-6,6,188,-30,30,342,-5.141388174807198,-1.0282776349614395
10,Subnational,Scopus,1,2,true,TH.22,2009.0,829,TH,23,7,11,19,16,16,30,-8,8,30,-9.650180940892641,19.300361881785282
11,Subnational,Scopus,1,2,true,US.IA,2001.0,5562,US,116,84,261,350,32,32,200,-89,89,611,-16.001438331535418,5.7533261416756565
12,Subnational,Scopus,1,2,true,AE.01,2012.0,1129,AE,140,51,5,5,89,89,191,0,0,10,0.0,78.83082373782108
13,Subnational,Scopus,1,2,true,CN.25,1998.0,1547,CN,13,25,38,36,-12,12,38,2,2,74,1.292824822236587,-7.756948933419522
14,Subnational,Scopus,1,2,true,IN.37,2011.0,172,IN,0,2,7,7,-2,2,2,0,0,14,0.0,-11.627906976744185
15,Subnational,Scopus,1,2,true,US.IN,2001.0,3395,US,85,70,250,271,15,15,155,-21,21,521,-6.185567010309279,4.418262150220913
16,Subnational,Scopus,1,2,true,CH.VD,2005.0,4453,CH,180,202,98,110,-22,22,382,-12,12,208,-2.694812485964518,-4.940489557601617
17,Subnational,Scopus,1,2,true,RU.04,2019.0,217,RU,1,0,4,7,1,1,1,-3,3,11,-13.824884792626728,4.608294930875576
18,Subnational,Scopus,1,2,true,JP.16,2008.0,1006,JP,6,3,44,37,3,3,9,7,7,81,6.958250497017892,2.982107355864811
19,Subnational,Scopus,1,2,true,CN.12,2010.0,23817,CN,143,192,360,638,-49,49,335,-278,278,998,-11.67233488684553,-2.057353990846874
20,Subnational,Scopus,1,2,true,TN.32,2018.0,1881,TN,45,44,15,31,1,1,89,-16,16,46,-8.506113769271664,0.531632110579479
21,Subnational,Scopus,1,2,true,BR.02,2015.0,678,BR,6,3,32,37,3,3,9,-5,5,69,-7.374631268436578,4.424778761061947
22,Subnational,Scopus,1,2,true,VE.13,2002.0,41,VE,3,1,2,1,2,2,4,1,1,3,24.390243902439025,48.78048780487805
23,Subnational,Scopus,1,2,true,TR.58,1998.0,170,TR,1,0,2,11,1,1,1,-9,9,13,-52.94117647058823,5.882352941176471
24,Subnational,Scopus,1,2,true,CH.AG,2016.0,1564,CH,85,43,56,70,42,42,128,-14,14,126,-8.951406649616368,26.854219948849106
25,Subnational,Scopus,1,2,true,US.HI,1999.0,1618,US,45,32,89,93,13,13,77,-4,4,182,-2.4721878862793574,8.034610630407911
26,Subnational,Scopus,1,2,true,IR.41,2014.0,337,IR,3,2,31,18,1,1,5,13,13,49,38.57566765578635,2.9673590504451037
27,Subnational,Scopus,1,2,true,DE.09,2011.0,1934,DE,50,49,64,67,1,1,99,-3,3,131,-1.5511892450879008,0.5170630816959669
28,Subnational,Scopus,1,2,true,CN.31,2018.0,2418,CN,26,8,115,52,18,18,34,63,63,167,26.054590570719604,7.444168734491315
29,Subnational,Scopus,1,2,true,US.ND,2013.0,1532,US,21,27,64,54,-6,6,48,10,10,118,6.527415143603133,-3.91644908616188
30,Subnational,Scopus,1,2,true,MY.11,2014.0,414,MY,16,17,12,8,-1,1,33,4,4,20,9.66183574879227,-2.4154589371980677
31,Subnational,Scopus,1,2,true,NZ.F3,2019.0,1168,NZ,45,28,19,22,17,17,73,-3,3,41,-2.5684931506849313,14.554794520547945
32,Subnational,Scopus,1,2,true,JP.36,2015.0,813,JP,3,9,30,29,-6,6,12,1,1,59,1.2300123001230012,-7.380073800738008
33,Subnational,Scopus,1,2,true,DE.09,2009.0,1673,DE,38,51,59,86,-13,13,89,-27,27,145,-16.138673042438732,-7.770472205618649
34,Subnational,Scopus,1,2,true,TN.36,2014.0,2208,TN,65,85,28,36,-20,20,150,-8,8,64,-3.6231884057971016,-9.057971014492754
35,Subnational,Scopus,1,2,true,IT.18,2002.0,1346,IT,16,19,36,36,-3,3,35,0,0,72,0.0,-2.2288261515601784
36,Subnational,Scopus,1,2,true,ES.29,2018.0,24587,ES,438,564,615,739,-126,126,1002,-124,124,1354,-5.043315573270427,-5.1246593728393055
37,Subnational,Scopus,1,2,true,TR.02,2017.0,271,TR,2,1,21,18,1,1,3,3,3,39,11.07011070110701,3.690036900369004
38,Subnational,Scopus,1,2,true,CA.11,2000.0,1471,CA,43,51,41,48,-8,8,94,-7,7,89,-4.758667573079538,-5.438477226376614
39,Subnational,Scopus,1,2,true,JO.16,2010.0,1022,JO,35,35,6,11,0,0,70,-5,5,17,-4.892367906066537,0.0
40,Subnational,Scopus,1,2,true,MY.14,2013.0,2121,MY,100,82,70,51,18,18,182,19,19,121,8.958038661008958,8.486562942008486
41,Subnational,Scopus,1,2,true,NL.15,2009.0,1723,NL,43,54,59,53,-11,11,97,6,6,112,3.482298316889147,-6.3842135809634355
42,Subnational,Scopus,1,2,true,MA.01,2017.0,235,MA,14,10,6,9,4,4,24,-3,3,15,-12.76595744680851,17.02127659574468
43,Subnational,Scopus,1,2,true,CA.02,2014.0,13932,CA,529,563,304,262,-34,34,1092,42,42,566,3.0146425495262705,-2.440424921045076
44,Subnational,Scopus,1,2,true,NG.30,2019.0,645,NG,13,9,15,8,4,4,22,7,7,23,10.852713178294573,6.2015503875969
45,Subnational,Scopus,1,2,true,ZA.02,2004.0,950,ZA,24,33,16,23,-9,9,57,-7,7,39,-7.368421052631579,-9.473684210526315
46,Subnational,Scopus,1,2,true,FR.53,2003.0,1523,FR,30,42,87,80,-12,12,72,7,7,167,4.596191726854892,-7.879185817465529
47,Subnational,Scopus,1,2,true,CA.01,2006.0,8513,CA,296,263,219,201,33,33,559,18,18,420,2.1144132503230355,3.876424292258898
48,Subnational,Scopus,1,2,true,FI.09,2012.0,477,FI,3,5,17,7,-2,2,8,10,10,24,20.964360587002098,-4.1928721174004195
49,Subnational,Scopus,1,2,true,TR.40,2020.0,87,TR,0,1,4,3,-1,1,1,1,1,7,11.494252873563218,-11.494252873563218
50,Subnational,Scopus,1,2,true,KR.17,2009.0,1548,KR,24,9,79,31,15,15,33,48,48,110,31.007751937984494,9.689922480620154
51,Subnational,Scopus,1,2,true,CO.35,2019.0,225,CO,0,6,4,2,-6,6,6,2,2,6,8.88888888888889,-26.666666666666668
52,Subnational,Scopus,1,2,true,EG.21,1998.0,18,EG,1,0,1,1,1,1,1,0,0,2,0.0,55.55555555555556
53,Subnational,Scopus,1,2,true,TR.11,2014.0,80,TR,1,0,8,1,1,1,1,7,7,9,87.5,12.5
54,Subnational,Scopus,1,2,true,PE.08,2016.0,65,PE,1,4,2,1,-3,3,5,1,1,3,15.384615384615385,-46.15384615384615
55,Subnational,Scopus,1,2,true,NZ.F8,2010.0,10,NZ,1,0,2,1,1,1,1,1,1,3,100.0,100.0
56,Subnational,Scopus,1,2,true,SE.22,2009.0,209,SE,2,2,10,7,0,0,4,3,3,17,14.354066985645932,0.0
57,Subnational,Scopus,1,2,true,HU.10,2001.0,839,HU,14,20,19,20,-6,6,34,-1,1,39,-1.1918951132300357,-7.151370679380214
