GID_nmbr,iso3,Country,Subnat,slope,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
54,DZA,Algeria,NA,0.00581,8829,8517,8472,8110,7869,8013,8196,8148,8435,8584,8786,8926,9300,9835,10115,10566,10592,10776,10847,10825,11008,11114,11271,11361,11561,11752,11888,11809,11726,11627,10845,11029,11198
3,AGO,Angola,NA,0.00954,5793,5659,5158,3799,3729,4149,4557,4728,4790,4740,4728,4768,5242,5217,5589,6205,6677,7340,7866,7646,7690,7663,8011,8100,8183,7967,7488,7216,6879,6602,6030,5912,5906
10,ATG,Antigua and Barbuda,NA,0.00413,17017,17304,17227,17812,18651,17492,18273,18889,19413,19793,20675,19434,19385,20331,21267,22381,24905,26853,26451,22933,20849,20197,20267,20176,20451,20584,21281,21672,23051,23639,19062,20501,22322
8,ARM,Armenia,NA,0.0262,5153,4474,2635,2485,2684,2913,3106,3236,3505,3660,3922,4347,4965,5699,6335,7259,8274,9476,10202,8820,9069,9551,10290,10677,11106,11506,11580,12510,13231,14318,13358,14207,16057
1,ABW,Aruba,NA,0.00116,32279,33744,34544,35958,37684,37470,36784,38202,37810,37171,39002,39920,39074,39115,41592,41019,40994,41745,41987,36629,35227,36074,35410,37406,36559,36100,36505,38868,39598,38511,29236,37334,41274
20,BHR,Bahrain,NA,0.00213,36998,39769,40972,44690,43113,43369,43737,43716,44458,45054,46154,46085,46478,47505,47455,46821,46303,46792,46589,44973,45600,46565,47794,48916,49118,48454,48486,48929,48938,49769,47994,49754,51855
28,BRB,Barbados,NA,0.00268,14086,13509,12701,12763,12984,13215,13715,14342,14853,14873,15506,15098,15155,15425,15584,16142,17058,17347,17384,16439,16011,15847,15758,15515,15480,15822,16190,16234,16063,16078,14004,13869,15417
24,BLZ,Belize,NA,0.0018,6292,6887,7608,7914,7743,7603,7456,7512,7534,7967,8656,8807,8996,9566,9724,9648,9791,9827,9406,9111,8996,8767,8886,9074,9233,9331,9141,8799,8720,8925,7586,8827,9474
25,BMU,Bermuda,NA,0.00399,65961,63959,64385,65968,65905,68313,69643,72404,74677,76772,83182,88232,86364,88727,90196,91114,95615,98258,95856,89962,88400,85829,80982,80504,77361,77843,78149,81835,81423,81682,76118,78570,81166
31,BWA,Botswana,NA,0.0071,9165,9569,9570,9477,9551,9957,10280,10881,10689,11474,11462,11263,11725,12055,12166,12494,13287,13783,13945,11729,12653,13250,12976,14144,14665,13682,14373,14657,14962,15118,13545,14907,15519
29,BRN,Brunei,NA,-0.00228,70359,70439,71781,70154,70571,71966,72321,69660,67770,68367,68866,69339,70632,71332,70415,69482,71353,70342,67934,65753,66484,68038,67793,65535,63131,62170,59981,60173,59650,61424,61604,60127,58670
17,BFA,Burkina Faso,NA,0.01141,982,1044,1021,1031,1018,1049,1135,1176,1228,1281,1267,1310,1326,1385,1403,1477,1521,1536,1578,1578,1662,1720,1776,1824,1847,1863,1917,1978,2051,2106,2090,2176,2159
